id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSE5281_GSM238763_Treat	0.302163987873645	0	0.191121573328583	0.104439150933753	0	0.0143548845573266	0.0198209355895689	0	0	0	0.0110341796458203	0.0307816600950688	0	0.168235640584947	0	0	0	0	0	0.0362304765273281	0.0701408852682039	0.0516766255957553
GSE5281_GSM238791_Treat	0.330447812792388	0	0.171180407204435	0	0.155445320620604	0	0.0026332217935447	0.00830972360174467	0	0.0556923033439534	0	0.0444979311766313	0	0	0.0230060763358793	0.137856858021706	0	0	0.0709303451091135	0	0	0
GSE5281_GSM238792_Treat	0.0946619801644366	0.0534254576206338	0.190764629797938	0.135976708970746	0.0942835933583878	0	0.106123430446051	0	0.0107551568997393	0	0.0527451190708799	0.0119900477195793	0.0723593260856762	0.011143776870764	0.00269343375787093	0.133008844497865	0	0	0.030068494739433	0	0	0
GSE5281_GSM238794_Treat	0.143644163091444	0.000766123209003186	0.251674093208475	0.0133123356396027	0.0757858495239221	0	0.00216271887670399	0.038364167162777	0	0.0218761113988824	0	0.0557303526219143	0.115921081758066	0.0749678912904686	0.0114505775291972	0.100447656672381	0	0	0.0938968780171618	0	0	0
GSE5281_GSM238795_Treat	0.207314035093701	0	0.131115690955631	0.112269983641889	0.0987426003600417	0	0	0.0523368755899451	0.00273419794575625	0.00387279901430504	0	0.0748441464600194	0.0226848815587508	0	0.00750759629692896	0.13936852376564	0	0	0.0557265629746169	0	0.0387906307135666	0.0526914756292083
GSE5281_GSM238797_Treat	0.137442405076275	0	0.204510131441725	0.0489886741281362	0.134014459804012	0	0.0597362524774611	0	0	0	0	0.0548335880468661	0.0669134133599576	0.0553144933634796	0.0068963343445296	0.101086705211523	0	0.0103210349348401	0.110398510659279	0	0.00954399715191569	0
GSE5281_GSM238801_Treat	0.198329660422451	0	0.247877157751118	0.0221382711144903	0.00514641538027265	0	0.0243047328010079	0.0158293480457784	0	0	0	0.0055690616355237	0.118710896528572	0	0	0.264067062227466	0.00585712664208	0.000751824181872778	0.0290194942971058	0	0.05501419818333	0.00738475078893217
GSE5281_GSM238803_Treat	0.0853208653452352	0	0.342836022751796	0.0506295082030323	0.0834322386394089	0	0.0625203359449903	0.0768189256131005	0.00450826786135652	0.0247208753701147	0	0	0.0744033142369919	0.134829219749979	0.01381035743652	0	0	0	0.00273777595717662	0	0	0.0434322928902979
GSE5281_GSM238807_Treat	0	0.150653209461198	0.161282084680303	0.0130566058735767	0.188453350356285	0	0.150751829464579	0	0	0	0.0306611679113633	0.0485958857263349	0.135103618097712	0.0740530886742799	0.0139361378559716	0	0	0	0.0248509656359732	0	0.00860205626242412	0
GSE5281_GSM238808_Treat	0.144724255910405	0	0.226654977589441	0.0131603217007357	0	0.0367300718508807	0	0.101289852169392	0	0.00917686393392927	0	0.0603678059266635	0.0698029229900042	0	0	0.208879526284986	0	0	0.120534713806254	0	0.00867868783730883	0
GSE5281_GSM238819_Treat	0.230324890742495	0	0.203440410526166	0.0387568670554404	0.0708363305723051	0	0	0.118222525148891	0	0.0111551908049819	0	0.0108185146218364	0.0305831455952329	0.161561045062065	0.0151849400241547	0.0128436790480702	0	0	0.0962724607983615	0	0	0
GSE5281_GSM238821_Treat	0.163252178210855	0	0.365885668353175	0	0	0.076959110431138	0	0.0141676195681207	0	0	0.0648364972667724	0	0.0653711843894934	0.119156499677579	0.0146184741018747	0.073159332341108	0	0	0	0	0.0425934356598843	0
GSE5281_GSM238823_Treat	0.152539489689972	0	0.0630810512414295	0.030420432881634	0.0326079710270191	0	0	0.106841885560634	0	0	0.0150802021856871	0.0387463547846823	0.0894668088406909	0.000866210282969007	0	0.297781865882996	0	0.0323459187908482	0.0595514177522217	0	0.0143965172911102	0.0662738737881051
GSE5281_GSM238826_Treat	0.096293245084772	0	0.20799783731538	0	0.132781564000403	0	0.0864523558011396	0.028060414797089	0	0.0747205643782383	0	0.077654225491265	0.134459440526029	0.136612550205356	0	0	0	0.00281438497588581	0.0221534174244418	0	0	0
GSE5281_GSM238837_Treat	0.165653792962471	0	0.31756817971091	0.102732482244095	0.00455229392793268	0.0240866350071328	0.00238060602439377	0	0	0.104169092839474	0	0	0.0405558083780942	0.145186108437528	0.00237736981534072	0.0719943279147284	0	0	0	0.0157181045805239	0	0.00302519815737472
GSE5281_GSM238844_Treat	0.130769575937261	0	0.301453728981927	0.00902620817477491	0.147107444916642	0	0.0176245690556528	0.0406120779924955	0	0	0.0244851941380607	0.0623675339343238	0.0104479648414072	0.0412151007378513	0	0.101972244621787	0	0	0.0494889491029423	0	0	0.0634294075648749
GSE5281_GSM238855_Treat	0.0766595262577783	0	0.356358898374111	0	0	0.057800453625813	0	0.0539540299106178	0	0.0558513880629069	0	0.0506212477692612	0.0342348793026733	0.0861128472424278	0.0255443926574834	0.16457243950731	0	0	0.0190489951557965	0.0179039234054967	0	0.00133697872832331
GSE5281_GSM238858_Treat	0.0604022770806133	0.00894747869006791	0.312276519716674	0.0723044917601908	0	0	0.120508203232075	0	0	0	0.0509406041643906	0	0.0746567857310352	0.200379610873209	0	0	0	0	0.0358821415662944	0	0	0.0637018871854499
GSE5281_GSM238864_Treat	0.217327932309804	0	0.276235408212372	0.0164618690196542	0.0501057910540754	0	0.0582174252662475	0.0289165962688877	0	0.116044189450773	0	0.0168458695140046	0.0208701472467874	0.0541226268811123	0	0.0680481603278773	0	0.00743828843802113	0.0527574535882752	0	0	0.0166082424221084
GSE5281_GSM238941_Treat	0.266653411433346	0	0.0492906962137571	0	0.095764072789421	0	0.0222217412820417	0.00574764121805004	0	0.095003482573614	0	0.00959410076318449	0.0983651048527337	0.000565552603723565	0.0169740699100331	0.29654867301773	0	0	0.0432714533423658	0	0	0
GSE5281_GSM238955_Treat	0	0.0879643295228247	0.370800130654207	0.0835007877065513	0.0514457938025979	0	0.0947708744342979	0.0387736603371957	0.00680026209817512	0.00707458390967719	0.025024416088685	0	0.0160228320431902	0.0609600601139735	0.0120508448614836	0	0.0166412146356105	0	0.0289709664358004	0	0.054876598965448	0.0443226443902818
GSE5281_GSM238963_Treat	0.0508411069827488	0	0.406020172589112	0	0.0836562515330525	0	0	0.0504788731387371	0	0.0377233419937717	0	0.0173208769381565	0.125175689169164	0.111999037520475	0.0221049019615262	0	0	0	0.0233350851979061	0	0	0.0713446629753502
GSE97760_GSM2577055_Control	0	0.0578114119479073	0.200990558494077	0.023021492682334	0.0723410902891404	0	0	0.0375251766065355	0.0010640538066476	0	0.0678289499462379	0.0538277409155868	0.144205034653267	0.225613836136258	0	0	0	0	0.0771406952606807	0	0	0.0386299592613287
GSE97760_GSM2577059_Treat	0.440808567827664	0	0.238437542277746	0.0267634606634169	0.13342361136194	0	0	0.0591278155776741	0.0206773515474336	0	0.00772778581136679	0.0195202809339233	0.0209610204474476	0.00946172059169724	0	0	0.0194271097118864	0	0	0.000896748715385847	0.0027669845324182	0
GSE97760_GSM2577060_Treat	0.182850934789443	0	0.0930021081789172	0.130125540806155	0.1001315516215	0.275037501154353	0.0638814201406084	0	0	0	0	0.0507294413003693	0.0197448245837978	0	0	0.0121408976486551	0	0.0251015253447788	0.0254820202359606	0	0.0124002163333744	0.00937201786208757
GSE97760_GSM2577061_Treat	0.48905388210701	0	0.272618445892276	0.0681937605258411	0.0238499805296523	0	0.0285001195436882	0	0	0	0.000500528929264301	0	0	0.0647322511412037	0	0	0	0.00931555239812178	0.0432354789329429	0	0	0
GSE97760_GSM2577062_Treat	0.155841808016362	0	0.123058630797557	0	0.106723101978521	0	0.0984002729401626	0	0	0.00662885542574718	0.0194917500542175	0	0.0626223874915054	0.139350730410345	0.0196991932834288	0.096812241089811	0	0	0.0410937356242551	0	0	0.130277292888087
GSE97760_GSM2577063_Treat	0.446115676941451	0	0.166488055093763	0.00444498882668355	0	0	0.0127090439767783	0.079845747911866	0	0.0136608945842076	0.0183665557005615	0.00278754988373362	0.0704369332534909	0.14652485966802	0	0.00456530084578887	0	0	0	0.0178548717224058	0	0.0161995215912501
GSE97760_GSM2577064_Treat	0.00198481824167975	0	0.193385421475221	0.150188923075202	0	0.044869955372722	0.0883429552084175	0.0945475224251304	0	0.0416333777451636	0	0.0252980161414834	0.0724309373537619	0	0.0163250432578216	0.138966045342205	0	0	0	0.0436883333509422	0.088338651010251	0
